Datetime,Date,Hour,Price (€/MWh),Rolling_STD,Z_Score
2025-04-08 12:00:00,2025-04-08,12-13,11.92,21.567746752964418,-0.6247561060816637
2025-04-08 13:00:00,2025-04-08,13-14,0.0,6.0950499040894455,-0.847335145630822
2025-04-08 14:00:00,2025-04-08,14-15,-0.01,6.8849037756534734,-0.8475218730129941
2025-04-08 15:00:00,2025-04-08,15-16,0.0,0.0057735033423892135,-0.847335145630822
2025-04-08 16:00:00,2025-04-08,16-17,8.14,4.702520600699956,-0.6953390565427222
2025-04-08 17:00:00,2025-04-08,17-18,34.29,17.915943551299236,-0.2070469521626475
2025-04-08 18:00:00,2025-04-08,18-19,56.26,24.0902393789132,0.20319310646948407
2025-04-08 19:00:00,2025-04-08,19-20,83.08,24.435143407259552,0.7039959454550904
2025-04-08 20:00:00,2025-04-08,20-21,117.6,30.750442815239897,1.3485788687132234
2025-04-08 21:00:00,2025-04-08,21-22,123.49,21.829989311342736,1.4585612968125978
2025-04-08 22:00:00,2025-04-08,22-23,85.95,20.189379221098854,0.7575867041384868
2025-04-08 23:00:00,2025-04-08,23-24,69.22,27.792017439065827,0.44519179376454215
